Response ID,Date submitted,Last page,Start language,Date started,Date last action,Where do you work?,Where do you work? [Other],In which sector?,In which sector? [Other],In which sector?,In which sector? [Other],What is your field of expertise?,Please mark which properties apply to the simulators that you have worked in co-simulation: [The simulator approximates the solution to sets of differential equations.],"Please mark which properties apply to the simulators that you have worked in co-simulation: [The simulator is a dedicated piece of hardware (e.g., a SCALEXIO).]",Please mark which properties apply to the simulators that you have worked in co-simulation: [The simulator specializes in finite element modelling.],"Please mark which properties apply to the simulators that you have worked in co-simulation: [The simulator receives input from a human-machine interface (e.g., a flight controller).]",Please mark which properties apply to the simulators that you have worked in co-simulation: [The simulator specializes in networks.],"Please mark which properties apply to the simulators that you have worked in co-simulation: [The simulator specializes in software controllers (e.g., Overture Tool).]",Please mark which properties apply to the simulators that you have worked in co-simulation: [Other],"Comparison of Strengths of co-simulation

	How important do you consider the following three factors? Please compare the pairs of factors in the group ""Strengths"" and rate their relative importance.

	9 = much more important; 1 = equally important [It supports cross-discipline developments | It supports cross-company cooperation (e.g., suppliers and system integrators can exchange virtual ""trial components"" before signing contracts)]","Comparison of Strengths of co-simulation

	How important do you consider the following three factors? Please compare the pairs of factors in the group ""Strengths"" and rate their relative importance.

	9 = much more important; 1 = equally important [It supports cross-company cooperation (e.g., suppliers and system integrators can exchange virtual ""trial components"" before signing contracts) | Every sub-system can be implemented in a tool that meets the particular requirements for the domain, the structure of the model and the simulation algorithm]","Comparison of Strengths of co-simulation

	How important do you consider the following three factors? Please compare the pairs of factors in the group ""Strengths"" and rate their relative importance.

	9 = much more important; 1 = equally important [It supports cross-discipline developments | Every sub-system can be implemented in a tool that meets the particular requirements for the domain, the structure of the model and the simulation algorithm]","Do you consider any other factor than the above as being more important? If yes, please name it:","Please compare the pairs of factors in the group ""Weaknesses"" and rate their relative importance.

	9 = much more important; 1 = equally important [Computational performance of co-simulation compared to monolithic simulation | Robustness of co-simulation compared to Monolithic simulation.]","Please compare the pairs of factors in the group ""Weaknesses"" and rate their relative importance.

	9 = much more important; 1 = equally important [Computational performance of co-simulation compared to monolithic simulation | Licenses for all programs are required to couple different simulation programs]","Please compare the pairs of factors in the group ""Weaknesses"" and rate their relative importance.

	9 = much more important; 1 = equally important [Robustness of co-simulation compared to Monolithic simulation. | Licenses for all programs are required to couple different simulation programs]","Do you consider any other factor than the above as being more important? If yes, please name it:","Please compare the pairs of factors in the group ""Opportunities"" and rate their relative importance.

	9 = much more important; 1 = equally important [Growing co-simulation community/growing industrial adoption | User-friendly tools (pre-defined master algorithms…., integrated error estimation…)]","Please compare the pairs of factors in the group ""Opportunities"" and rate their relative importance.

	9 = much more important; 1 = equally important [Growing co-simulation community/growing industrial adoption | Better communication between different domains]","Please compare the pairs of factors in the group ""Opportunities"" and rate their relative importance.

	9 = much more important; 1 = equally important [User-friendly tools (pre-defined master algorithms…., integrated error estimation…) | Better communication between different domains]","Do you consider any other factor than the above as being more important? If yes, please name it:","Please compare the pairs of factors in the group ""Threats"" and rate their relative importance.

	9 = much more important; 1 = equally important [Insufficient knowledge/information of users in co-simulation may lead to improper use (e.g. wrong or missing error estimation, stability issues). | Incompatibility of different standards and co-simulation approaches.]","Please compare the pairs of factors in the group ""Threats"" and rate their relative importance.

	9 = much more important; 1 = equally important [Insufficient knowledge/information of users in co-simulation may lead to improper use (e.g. wrong or missing error estimation, stability issues). | Lack of exchange/cooperation between theoretical/numerical part, implementation and application/industry.]","Please compare the pairs of factors in the group ""Threats"" and rate their relative importance.

	9 = much more important; 1 = equally important [Lack of exchange/cooperation between theoretical/numerical part, implementation and application/industry. | Incompatibility of different standards and co-simulation approaches.]","Do you consider any other factor than the above as being more important? If yes, please name it:","Please compare the SWOT-categories and rate their relative importance for co-simulation.

	9 = much more important; 1 = equally important [Strengths | Weaknesses]","Please compare the SWOT-categories and rate their relative importance for co-simulation.

	9 = much more important; 1 = equally important [Strengths | Opportunities]","Please compare the SWOT-categories and rate their relative importance for co-simulation.

	9 = much more important; 1 = equally important [Strengths | Threats]","Please compare the SWOT-categories and rate their relative importance for co-simulation.

	9 = much more important; 1 = equally important [Weaknesses | Opportunities]","Please compare the SWOT-categories and rate their relative importance for co-simulation.

	9 = much more important; 1 = equally important [Weaknesses | Threats]","Please compare the SWOT-categories and rate their relative importance for co-simulation.

	9 = much more important; 1 = equally important [Opportunities | Threats]",To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Uncertainty quantification/propagation],To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Theoretical understanding of how to accurately include different kinds of controllers in different co-simulation approaches],"To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Systematic categorization of different co-simulation approaches, including a better understanding of how their model of computations and requirements overlap and differ.]",To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Simulator black boxing and IP Protection],To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Usability and performance],To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Integration of a wide variety of simulators despite different structures (while achieving/maintaining high performance)],"To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Hybrid co-simulation (e.g., variable structure systems, switched systems, impulsive systems, etc…)]",To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Impact of using different tolerances in a sub-component on the overall simulation],To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Acausal approaches for co-simulation],"To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Representation and enforcement of model validity assumptions (e.g., a model of a spring is only valid up to a given maximum displacement, derived from experimentation with the material of the spring. In a co-simulation, we would like to know whether the simulators are being used within the assumptions made in their corresponding models)]",To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Numerical stability],To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Impact of coupled error controlled algorithms],To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Impact of updating inputs (and the discontinuity it introduces) in the subsystems],To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Parallelization],To which extent do you agree that the following research topics in the field of co-simulation have not received enough attention up to now? [Simultaneous events],Established standards for continuous time co-simulation. Please choose a widely accepted standard for continuous time co-simulation in industry and academia (choose one),Established standards for continuous time co-simulation. Please choose a widely accepted standard for continuous time co-simulation in industry and academia (choose one) [Other],What standard do you use for continuous time co-simulation?,What standard do you use for continuous time co-simulation? [Other],What tools do you use for continuous time co-simulation?,"Established standards for discrete event co-simulation. In your opinion, is there a widely accepted standard for discrete event co-simulation in industry and academia? (choose)","Established standards for discrete event co-simulation. In your opinion, is there a widely accepted standard for discrete event co-simulation in industry and academia? (choose) [Other]",What standard do you use for discrete event co-simulation?,What standard do you use for discrete event co-simulation? [Other],What tools do you use for discrete event co-simulation?,"Established standards for hybrid co-simulation. In your opinion, is there a widely accepted standard for discrete event co-simulation in industry and academia?  (choose)","Established standards for hybrid co-simulation. In your opinion, is there a widely accepted standard for discrete event co-simulation in industry and academia?  (choose) [Other]",What standard do you use for hybrid co-simulation?,What standard do you use for hybrid co-simulation? [Other],What tools do you use for hybrid co-simulation?,What is the main reason that you work with co-simulation?, [Have you encountered issues with algebraic loops?], [Have you ever encountered issues because of too simplistic extrapolation functions?]," [Have you experienced difficulties in judging the validity of a co-simulation, i.e. estimating the associated communication error?]"," [Have you experienced difficulties in practical aspects, like IT-prerequisites in cross-company collaboration?]", [Have you experienced difficulties due to insufficient communication between theorists and practitioners?], [Have you experienced numerical stability issues of co-simulation?], [Have you experienced difficulties in how to define the macro step size for a specific co-simulation?], [Have you experienced difficulties in how to define tolerances?], [Have you experienced difficulties in choosing the right co-simulation orchestration algorithm (master)?], [Is Intellectual Property Protection important when you are using a co-simulation?], [Is usability and performance important when you are using a co-simulation?], [Is Simulator black boxing and IP Protection important for your work?]," [The major benefit of co-simulation is to increase performance, when compared to a monolithic simulation?]", [A clearer categorization of different co-simulation approaches would help for your particular field of work?], [A acausal approaches can boost the use of co-simulation in your field?], [For academia it is difficult to experiment with different co-simulation approaches as there is a huge learning curve: in terms of learning the specification and also gaining access to models as well as being able to make changes to existing approaches and test new ideas?],What are the three most important scientific sources to  disseminate your work? [Workshop on Modeling and Simulation of Cyber-Physical Energy Systems (Mscpes)],What are the three most important scientific sources to  disseminate your work? [Modelica Conference],What are the three most important scientific sources to  disseminate your work? [Simulation Modelling Practice and Theory Journal],What are the three most important scientific sources to  disseminate your work? [EEE Transactions on Computer-Aided Design of Integrated Circuits and Systems],What are the three most important scientific sources to  disseminate your work? [Design Automation of Electronic Systems (TODAES)],What are the three most important scientific sources to  disseminate your work? [ACM Transactions on Modeling and Computer Simulation],What are the three most important scientific sources to  disseminate your work? [ACM Transactions on Cyber-Physical Systems],What are the three most important scientific sources to  disseminate your work? [IEEE Transactions on Smart Grid],What are the three most important scientific sources to  disseminate your work? [IEEE Transactions on Industrial Electronics],What are the three most important scientific sources to  disseminate your work? [Conference of the IEEE Industrial Electronics Society],What are the three most important scientific sources to  disseminate your work? [IEEE Conference on Innovative Smart Grid Technologies],What are the three most important scientific sources to  disseminate your work? [International Conference on Multibody System Dynamics],What are the three most important scientific sources to  disseminate your work? [Hybrid Systems: Computation and Control],What are the three most important scientific sources to  disseminate your work? [Spring Simulation Multi-conference],What are the three most important scientific sources to  disseminate your work? [Problems in Science and Engineering],"What are the three most important scientific sources to  disseminate your work? [Conference on Simulation and Modeling Methodologies, Technologies and Applications]","What are the three most important scientific sources to  disseminate your work? [IUTAM Symposium ""Solver Coupling and Co-Simulation""]",What are the three most important scientific sources to  disseminate your work? [SIMULATION (journal)],What are the three most important scientific sources to  disseminate your work? [Vehicle system dynamics],What are the three most important scientific sources to  disseminate your work? [Other],Do you have experience with FMI?,"What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [There is a lack of tools that sufficiently support FMI]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [It is difficult to implement FMU’s (API, connecting/linking different subsystems)]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [There is a lack of (scientific) community, forums, groups]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [It is difficult to post-process simulation results]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [Simulations are slow compared to monolithic simulations]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [There is insufficient documentation and a lack of examples, tutorials, etc.]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [The standard does not support certain requirements that would be widely needed by industry and academia.]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [Concerns of industry/academia regarding FMI and IP protection]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [No pre-implemented Master Algorithms]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [FMI has limited support for discrete co-simulation and it is not easily applicable]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [FMI has limited support for hybrid co-simulation and it is not easily applicable]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [There is not enough cooperation and exchange (theoretical/numerical, implementation, application/industry) in defining and developing the FMI standard]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [Lack of transparency in features supported by FMI tools]","What are current barriers for FMI in industry and research? Please state in the following, to which extent you agree that the given items are barriers for FMI. [The FMI-standard still requires a number of updates in order to serve as a useful general standard for co-simulation]",
8,,0,en,2018-02-14 09:56:07.000,2018-02-14 09:56:07.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2018-02-14 10:40:56.000,9,en,2018-02-14 10:28:34.000,2018-02-14 10:40:56.000,1,,-oth-,Computer Science,,,Computer Science,0,0,0,0,0,0,Simulink,5,5,5,Modularity and compositionality,5,5,5,Some companies (monopolies) may be against it actively,5,5,5,,5,5,5,Lack of sufficiently strong theory,5,5,5,5,5,5,2,1,3,2,3,1,1,2,1,1,2,3,3,2,3,,,1,,I have used Simulink and Ptolemy in my research.,,,,,"I have used Simulink and Ptolemy in my research. I have also used many model-checkers, which are mostly discrete (Spin, SMV, etc.).",,,,,I have used Simulink and Ptolemy in my research.,Research interest,1,,1,,3,3,3,,1,2,2,2,4,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,EMSOFT,1,3,3,4,4,4,4,2,4,3,2,2,2,3,4,
10,,-1,en,2018-02-14 13:33:23.000,2018-02-14 16:50:24.000,,,,,,,,0,0,0,0,0,0,,5,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2018-02-14 21:10:38.000,9,en,2018-02-14 20:52:40.000,2018-02-14 21:10:38.000,1,,4,,,,Co-Simulation,1,1,0,0,0,0,,3,9,9,,9,1,1,,9,7,7,,1,1,2,,4,4,4,4,7,6,1,,4,6,3,3,2,1,1,3,3,2,2,5,2,1,,,,AVL Model.CONNECT,3,,3,,,,,,,,Multi-domain system considerations,1,1,1,1,1,1,1,1,1,1,1,1,6,5,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,,1,2,5,6,6,3,6,3,6,6,3,3,7,6,5,
12,2018-02-14 21:48:17.000,9,en,2018-02-14 21:31:38.000,2018-02-14 21:48:17.000,1,,-oth-,Systems engineering,,,Modeling and simulation,1,0,1,1,1,1,,4,6,4,,5,7,7,,3,3,4,,1,1,4,,5,5,5,4,5,5,2,2,3,6,6,3,1,2,1,1,2,2,2,3,1,1,,1,,Modelica,3,,4,,"adevs, FMI, HLA",,,1,,"adevs, FMI",Integration of models constructed using different tools.,3,4,2,3,2,5,1,2,3,5,2,5,6,3,1,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,,1,3,3,6,3,3,6,6,6,2,5,5,5,5,6,
17,2018-02-16 09:28:13.000,9,en,2018-02-16 09:11:45.000,2018-02-16 09:28:13.000,1,,-oth-,Numerical mathematics,,,Numerical time integration in industrial applications,1,0,0,0,0,0,,3,7,7,,6,4,4,,8,6,4,,2,2,5,,5,5,5,5,5,5,3,2,2,6,2,6,3,3,4,3,3,1,2,5,5,1,,-oth-,none,"currently: none

previous experience in the context of industrial multibody system simulation",,,-oth-,none,none,,,-oth-,none,none,,2,3,3,2,2,2,2,2,3,3,2,5,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,2,3,4,,2,2,2,,3,3,3,1,,2,
18,2018-02-16 10:09:02.000,9,en,2018-02-16 09:55:27.000,2018-02-16 10:09:02.000,1,,1,,,,(Meta-)Modelling and Simulation (DEVS),0,0,0,0,1,0,,6,4,8,,7,1,1,,7,7,5,,3,6,4,,4,3,3,3,5,4,3,4,3,5,5,5,3,4,2,3,4,4,3,5,5,1,,,,,3,,4,,,,,,,,,3,5,3,2,,3,,4,,4,3,5,3,5,5,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,,,,,,,,,,,,,,,
20,,2,en,2018-02-16 16:59:06.000,2018-02-16 17:01:28.000,2,,,,1,,Electric network modeling and simulation,1,0,0,0,1,0,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2018-02-16 17:25:18.000,9,en,2018-02-16 17:02:27.000,2018-02-16 17:25:18.000,2,,,,1,,co-simulation of CPs especially for energy systems,1,0,0,1,1,1,,5,5,6,,4,1,2,,8,8,5,,7,6,4,,3,4,4,6,4,3,6,3,3,5,6,6,2,2,2,2,2,2,2,5,5,1,,1,,Dymola & OpenModelica,4,,1,,ControlBuild or Papyrus,1,,1,,"Daccosim with FMUs coming from Dymola, CB or Papyrus",design of energy systems,3,2,2,2,3,3,2,2,6,1,2,2,2,3,4,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,,1,6,6,5,6,6,3,2,6,6,3,3,4,6,3,
24,2018-02-16 18:35:12.000,9,en,2018-02-16 18:24:44.000,2018-02-16 18:35:12.000,1,,2,,,,Energy System Modelling and Optimization,1,0,0,0,0,0,,3,8,8,,2,3,5,,5,2,2,,2,5,2,,4,7,3,7,5,3,2,2,1,,1,2,2,,2,,3,3,,1,,1,,1,,"Dymola, BCVTB",1,,,,I am not working with discrete even co-simulation,1,,,,I am not working with hybrid co-simulation,"Couple the domains buildings, HVAC systems and grid-based infrastructure. It is difficult/impossible to implemtn everything in one tool",6,6,1,6,6,4,3,4,6,5,1,5,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,7,7,2,,6,2,6,4,6,,,4,7,6,
25,,0,en,2018-02-16 19:36:48.000,2018-02-16 19:36:48.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2018-02-16 22:28:37.000,9,en,2018-02-16 22:11:28.000,2018-02-16 22:28:37.000,1,,1,,,,Multi-core computing,1,0,0,0,0,0,,4,6,5,,6,3,3,,6,8,8,,3,8,2,,4,6,6,6,4,4,,,2,3,2,2,,3,,,,,,2,,1,,1,,xMOD,,,,,,1,,,,,Improve the quality and performance of powertrain system simulation.,6,6,6,4,2,6,2,3,6,1,1,1,3,1,,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,1,4,3,4,6,7,3,,3,3,,,3,,,
27,2018-02-17 08:22:08.000,9,en,2018-02-17 07:03:54.000,2018-02-17 08:22:08.000,2,,,,6,,"Co-Simulation, MBS, Dynamics",1,0,1,0,0,0,,2,9,6,"parallel modeling possibility (development time); optimized cpu-time (multirate, parallelization, etc)",5,3,3,,5,3,3,,3,5,3,,2,6,2,7,8,3,2,5,6,5,6,4,2,5,2,1,6,3,3,6,2,1,,1,,"Simpack, Matlab, Amesim",1,,,,,,,,,,"Improving model quality by combining physical domains; Using optimized tools for modeling/solving the subsystems,",3,3,3,3,3,2,3,4,3,3,2,4,3,5,2,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,"GAMM, ZAMM, ECCOMAS",1,3,5,5,5,5,6,6,6,5,4,4,5,3,5,
28,2018-02-17 15:03:49.000,9,en,2018-02-17 14:40:01.000,2018-02-17 15:03:49.000,1,,4,,,,multibody dynamics,1,0,0,0,0,0,,4,7,7,Reducing overall simulation time; parallelization,3,2,5,,8,6,5,,3,5,3,,2,8,8,8,8,5,4,2,2,4,3,3,2,2,2,3,3,1,3,3,3,1,,,,our own co-simulation interface,,,,,,1,,,,our own co-simulation interface,simulating multiphysical models,2,3,2,5,3,2,3,3,3,3,2,3,3,3,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1,2,3,3,3,4,4,2,4,3,4,4,4,4,2,
43,,4,en,2018-02-22 09:48:40.000,2018-02-22 09:51:53.000,,,,,,,,0,0,0,0,0,0,,7,6,7,,5,5,5,,8,8,8,,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,2018-03-01 10:01:33.000,9,en,2018-03-01 09:20:32.000,2018-03-01 10:01:33.000,2,,,,2,,Numerics,1,0,0,0,0,0,,8,4,7,,5,3,4,,5,4,3,,4,1,9,,3,8,4,7,6,4,3,2,1,,3,2,3,2,,2,1,1,2,3,4,1,,1,,Simcenter,,,,,Discrete event co-simulation must be defined first (although discrete event simulation makes sense but it is unrelated),,,,,There is no such thing as hybrid co-simulation at this time. Define it first before.,,3,3,3,1,2,3,3,4,4,4,2,4,3,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Software and System Modeling,1,3,1,3,6,4,3,3,5,4,,,2,2,2,
70,,6,en,2018-03-01 10:46:37.000,2018-03-01 10:50:12.000,2,,,,2,,Mathematics,1,0,0,0,0,0,,5,5,5,,5,5,2,,5,5,5,,5,5,5,,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,0,en,2018-03-01 10:46:57.000,2018-03-01 10:46:57.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2018-02-15 09:41:13.000,9,en,2018-02-15 09:26:02.000,2018-02-15 09:41:13.000,,,,,,,,1,1,1,1,1,1,,1,1,1,,9,9,9,,1,1,1,,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,
19,2018-02-16 17:28:24.000,9,en,2018-02-16 16:05:37.000,2018-02-16 17:28:24.000,2,,,,-oth-,Engineering services,System Simulation,1,0,0,1,0,0,,5,3,2,,8,2,3,,5,2,2,,5,3,5,,4,7,7,5,7,4,1,2,2,4,2,2,2,2,1,1,2,1,1,2,5,1,,1,,"Dymola, Optimica, PyFMI",3,,,,,1,,1,,FMI Composer,Necessary within the automotive industry engineering work that we do,3,,1,2,2,2,2,2,2,2,2,2,6,1,1,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,5,6,2,7,2,2,3,6,,3,3,3,3,5,
23,,1,en,2018-02-16 17:33:19.000,2018-02-16 17:36:59.000,2,,,,6,,"co-simulation, mbs, dynamics",1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,1,en,2018-02-22 09:38:34.000,2018-02-22 09:39:27.000,1,,1,,,,internet and communication technologies,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,,0,en,2018-02-22 11:28:46.000,2018-02-22 11:28:46.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
